wavelength,black 2 (1.5 D),blue,blue flower,blue sky,bluish green,cyan,dark skin,foliage,green,light skin,magenta,moderate red,neutral 3.5 (1.05 D),neutral 5 (.70 D),neutral 6.5 (.44 D),neutral 8 (.23 D),orange,orange yellow,purple,purplish blue,red,white 9.5 (.05 D),yellow,yellow green
380.0,0.032,0.069,0.123,0.113,0.11,0.093,0.048,0.048,0.055,0.103,0.118,0.096,0.074,0.113,0.138,0.15,0.053,0.06,0.101,0.099,0.052,0.153,0.054,0.056
385.0,0.033,0.081,0.152,0.138,0.133,0.11,0.051,0.049,0.056,0.12,0.142,0.108,0.079,0.131,0.167,0.184,0.054,0.061,0.115,0.12,0.052,0.189,0.053,0.058
390.0,0.033,0.096,0.197,0.174,0.167,0.134,0.055,0.049,0.057,0.141,0.179,0.123,0.084,0.15,0.206,0.235,0.054,0.063,0.135,0.15,0.052,0.245,0.054,0.059
395.0,0.034,0.114,0.258,0.219,0.208,0.164,0.06,0.049,0.058,0.163,0.228,0.135,0.088,0.169,0.249,0.299,0.054,0.064,0.157,0.189,0.052,0.319,0.053,0.059
400.0,0.035,0.136,0.328,0.266,0.252,0.195,0.065,0.05,0.058,0.182,0.283,0.144,0.091,0.183,0.289,0.372,0.054,0.065,0.177,0.231,0.051,0.409,0.053,0.06
405.0,0.035,0.156,0.385,0.3,0.284,0.22,0.068,0.049,0.058,0.192,0.322,0.145,0.093,0.193,0.324,0.459,0.054,0.065,0.191,0.268,0.051,0.536,0.053,0.061
410.0,0.036,0.175,0.418,0.32,0.303,0.238,0.068,0.049,0.059,0.197,0.343,0.144,0.094,0.199,0.346,0.529,0.053,0.064,0.199,0.293,0.05,0.671,0.053,0.061
415.0,0.036,0.193,0.437,0.33,0.314,0.249,0.067,0.05,0.059,0.199,0.354,0.141,0.094,0.201,0.354,0.564,0.053,0.064,0.203,0.311,0.05,0.772,0.052,0.061
420.0,0.036,0.208,0.446,0.336,0.322,0.258,0.064,0.05,0.059,0.201,0.359,0.138,0.094,0.202,0.357,0.58,0.052,0.064,0.206,0.324,0.049,0.84,0.052,0.062
425.0,0.036,0.224,0.448,0.337,0.329,0.27,0.062,0.051,0.06,0.203,0.357,0.134,0.094,0.203,0.358,0.584,0.052,0.064,0.198,0.335,0.049,0.868,0.052,0.063
430.0,0.036,0.244,0.448,0.337,0.336,0.281,0.059,0.052,0.062,0.205,0.35,0.132,0.094,0.203,0.359,0.585,0.052,0.064,0.19,0.348,0.049,0.878,0.053,0.064
435.0,0.036,0.265,0.447,0.337,0.344,0.296,0.057,0.053,0.063,0.208,0.339,0.132,0.095,0.204,0.36,0.587,0.052,0.065,0.179,0.361,0.049,0.882,0.053,0.066
440.0,0.035,0.29,0.444,0.335,0.353,0.315,0.055,0.054,0.065,0.212,0.327,0.131,0.095,0.205,0.361,0.587,0.052,0.065,0.168,0.373,0.049,0.883,0.053,0.068
