wavelength,value
380.0,0.0
385.0,0.0
390.0,0.01
395.0,0.02
400.0,0.05
405.0,0.11
410.0,0.25
415.0,0.56
420.0,1.2
425.0,2.37
430.0,4.24
435.0,7.17
440.0,12.11
445.0,17.7
450.0,18.87
455.0,14.58
460.0,9.9
465.0,7.53
470.0,6.02
475.0,5.11
480.0,5.17
485.0,5.82
490.0,6.77
495.0,7.88
500.0,8.94
505.0,9.82
510.0,10.52
515.0,11.06
520.0,11.51
525.0,11.93
530.0,12.37
535.0,12.83
540.0,13.31
545.0,13.79
550.0,14.26
555.0,14.68
560.0,15.08
565.0,15.42
570.0,15.72
575.0,15.97
580.0,16.18
585.0,16.37
590.0,16.5
595.0,16.55
600.0,16.5
605.0,16.32
610.0,16.0
615.0,15.54
620.0,14.96
625.0,14.27
630.0,13.48
635.0,12.62
640.0,11.71
645.0,10.78
650.0,9.85
655.0,8.93
660.0,8.04
665.0,7.2
670.0,6.42
675.0,5.69
680.0,5.02
685.0,4.42
690.0,3.88
695.0,3.39
700.0,2.95
705.0,2.56
710.0,2.22
715.0,1.92
720.0,1.65
725.0,1.43
730.0,1.23
735.0,1.06
740.0,0.91
745.0,0.78
750.0,0.68
755.0,0.58
760.0,0.5
765.0,0.43
770.0,0.37
775.0,0.32
780.0,0.28
